FCFS:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
4	2.0
9	4.333333333333333
14	6.75
19	9.2
23	11.5
27	13.714285714285714
32	16.0
37	18.333333333333332
41	20.6
44	22.727272727272727
48	24.833333333333332
52	26.923076923076923
57	29.071428571428573
61	31.2
66	33.375
71	35.588235294117645
75	37.77777777777778
80	40.0
85	42.25
88	44.42857142857143
92	46.59090909090909
97	48.78260869565217
100	50.916666666666664
104	53.04
109	55.19230769230769
114	57.370370370370374
118	59.535714285714285
122	61.689655172413794
127	63.86666666666667
131	66.03225806451613
136	68.21875
139	70.36363636363636
143	72.5
148	74.65714285714286
152	76.80555555555556
156	78.94594594594595
161	81.10526315789474
165	83.25641025641026
169	85.4
174	87.5609756097561
178	89.71428571428571
182	91.86046511627907
185	93.97727272727273
189	96.08888888888889
193	98.19565217391305
197	100.29787234042553
202	102.41666666666667
204	104.48979591836735
208	106.56
212	108.62745098039215
216	110.6923076923077
220	112.75471698113208
225	114.83333333333333
230	116.92727272727272
235	119.03571428571429
239	121.14035087719299
243	123.24137931034483
248	125.35593220338983
253	127.48333333333333
257	129.60655737704917
260	131.70967741935485
263	133.79365079365078
267	135.875
271	137.95384615384614
276	140.04545454545453
280	142.13432835820896
285	144.23529411764707
289	146.33333333333334
293	148.42857142857142
296	150.50704225352112
300	152.58333333333334
304	154.65753424657535
308	156.72972972972974
311	158.78666666666666
315	160.8421052631579
320	162.9090909090909
323	164.96153846153845
328	167.0253164556962
331	169.075
335	171.12345679012347
340	173.1829268292683
345	175.25301204819277
350	177.33333333333334
352	179.38823529411764
357	181.45348837209303
362	183.5287356321839
367	185.61363636363637
371	187.69662921348313
375	189.77777777777777
376	191.82417582417582
381	193.8804347826087
386	195.94623655913978
390	198.01063829787233
393	200.06315789473683
398	202.125
403	204.1958762886598
407	206.26530612244898
412	208.34343434343435
417	210.43
421	212.5148514851485
425	214.59803921568627
429	216.67961165048544
432	218.75
434	220.8
438	222.8490566037736
443	224.90654205607476
447	226.96296296296296
452	229.0275229357798
456	231.0909090909091
460	233.15315315315314
463	235.20535714285714
467	237.2566371681416
472	239.31578947368422
476	241.37391304347827
481	243.43965517241378
486	245.51282051282053
489	247.57627118644066
494	249.64705882352942
499	251.725
504	253.8099173553719
508	255.89344262295083
513	257.9837398373984
517	260.0725806451613
520	262.152



SJF:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
4	2.0
9	4.333333333333333
14	6.75
19	9.2
23	11.5
27	13.714285714285714
32	16.0
37	18.333333333333332
41	20.6
44	22.727272727272727
48	24.833333333333332
52	26.923076923076923
57	29.071428571428573
61	31.2
66	33.375
71	35.588235294117645
75	37.77777777777778
80	40.0
85	42.25
88	44.42857142857143
92	46.59090909090909
97	48.78260869565217
100	50.916666666666664
104	53.04
109	55.19230769230769
114	57.370370370370374
118	59.535714285714285
122	61.689655172413794
127	63.86666666666667
131	66.03225806451613
136	68.21875
139	70.36363636363636
143	72.5
148	74.65714285714286
152	76.80555555555556
156	78.94594594594595
161	81.10526315789474
165	83.25641025641026
169	85.4
174	87.5609756097561
178	89.71428571428571
182	91.86046511627907
185	93.97727272727273
189	96.08888888888889
193	98.19565217391305
197	100.29787234042553
202	102.41666666666667
204	104.48979591836735
208	106.56
212	108.62745098039215
216	110.6923076923077
220	112.75471698113208
225	114.83333333333333
230	116.92727272727272
235	119.03571428571429
239	121.14035087719299
243	123.24137931034483
248	125.35593220338983
253	127.48333333333333
257	129.60655737704917
260	131.70967741935485
263	133.79365079365078
267	135.875
271	137.95384615384614
276	140.04545454545453
280	142.13432835820896
285	144.23529411764707
289	146.33333333333334
293	148.42857142857142
296	150.50704225352112
300	152.58333333333334
304	154.65753424657535
308	156.72972972972974
311	158.78666666666666
315	160.8421052631579
320	162.9090909090909
323	164.96153846153845
328	167.0253164556962
331	169.075
335	171.12345679012347
340	173.1829268292683
345	175.25301204819277
350	177.33333333333334
352	179.38823529411764
357	181.45348837209303
362	183.5287356321839
367	185.61363636363637
371	187.69662921348313
375	189.77777777777777
376	191.82417582417582
381	193.8804347826087
386	195.94623655913978
390	198.01063829787233
393	200.06315789473683
398	202.125
403	204.1958762886598
407	206.26530612244898
412	208.34343434343435
417	210.43
421	212.5148514851485
425	214.59803921568627
429	216.67961165048544
432	218.75
434	220.8
438	222.8490566037736
443	224.90654205607476
447	226.96296296296296
452	229.0275229357798
456	231.0909090909091
460	233.15315315315314
463	235.20535714285714
467	237.2566371681416
472	239.31578947368422
476	241.37391304347827
481	243.43965517241378
486	245.51282051282053
489	247.57627118644066
494	249.64705882352942
499	251.725
504	253.8099173553719
508	255.89344262295083
513	257.9837398373984
517	260.0725806451613
520	262.152
