FCFS:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
2	1.0
26	9.333333333333334
46	18.5
54	25.6
65	32.166666666666664
74	38.142857142857146
75	42.75
81	47.0
90	51.3
94	55.18181818181818
111	59.833333333333336
131	65.3076923076923
137	70.42857142857143
153	75.93333333333334
175	82.125
182	88.0
201	94.27777777777777
212	100.47368421052632
229	106.9
241	113.28571428571429
253	119.63636363636364
268	126.08695652173913
291	132.95833333333334
298	139.56
318	146.42307692307693
341	153.62962962962962
359	160.96428571428572
368	168.10344827586206
393	175.6
410	183.16129032258064
431	190.90625
436	198.33333333333334
460	206.02941176470588
475	213.71428571428572
493	221.47222222222223
510	229.27027027027026
513	236.73684210526315
523	244.07692307692307
536	251.375
545	258.5365853658537
565	265.8333333333333
581	273.16279069767444
597	280.52272727272725
609	287.8222222222222
613	294.89130434782606
638	302.1914893617021
655	309.5416666666667
658	316.6530612244898
665	323.62
672	330.45098039215685
687	337.3076923076923
702	344.188679245283
712	351.0
728	357.8545454545455
744	364.75
760	371.6842105263158
779	378.7068965517241
785	385.59322033898303
805	392.5833333333333
807	399.37704918032784
817	406.11290322580646
824	412.74603174603175
848	419.546875
872	426.5076923076923
878	433.3484848484849
897	440.2686567164179
901	447.04411764705884
913	453.7971014492754
935	460.6714285714286
943	467.46478873239437
964	474.3611111111111
988	481.3972602739726
1008	488.5135135135135
1021	495.61333333333334
1022	502.5394736842105
1035	509.45454545454544
1054	516.4358974358975
1068	523.4177215189874
1077	530.3375
1095	537.3086419753087
1109	544.280487804878
1110	551.0963855421687
1130	557.9880952380952
1133	564.7529411764706
1155	571.6162790697674
1176	578.5632183908046
1188	585.4886363636364
1188	592.2584269662922
1192	598.9222222222222
1201	605.5384615384615
1203	612.0326086956521
1214	618.505376344086
1235	625.063829787234
1254	631.6842105263158
1270	638.3333333333334
1289	645.0412371134021
1305	651.7755102040817
1312	658.4444444444445
1331	665.17
1344	671.8910891089109
1352	678.5588235294117
1364	685.2135922330098
1367	691.7692307692307
1392	698.4380952380952
1409	705.1415094339623
1426	711.8785046728972
1428	718.5092592592592
1449	725.2110091743119
1467	731.9545454545455
1472	738.6216216216217
1491	745.3392857142857
1493	751.9557522123894
1497	758.4912280701755
1522	765.1304347826087
1542	771.8275862068965
1558	778.5470085470085
1572	785.271186440678
1582	791.9663865546219
1597	798.675
1610	805.3801652892562
1612	811.9918032786885
1635	818.6829268292682
1644	825.3387096774194
1655	831.976



SJF:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
0	0.0
5	1.6666666666666667
3	2.0
6	2.8
16	5.0
3	4.714285714285714
5	4.75
3	4.555555555555555
7	4.8
35	7.545454545454546
7	7.5
3	7.153846153846154
2	6.785714285714286
29	8.266666666666667
7	8.1875
3	7.882352941176471
2	7.555555555555555
10	7.684210526315789
8	7.7
5	7.571428571428571
1	7.2727272727272725
4	7.130434782608695
0	6.833333333333333
8	6.88
19	7.346153846153846
64	9.444444444444445
68	11.535714285714286
67	13.448275862068966
53	14.766666666666667
42	15.64516129032258
133	19.3125
121	22.393939393939394
117	25.176470588235293
111	27.62857142857143
112	29.97222222222222
117	32.32432432432432
196	36.63157894736842
182	40.35897435897436
192	44.15
184	47.5609756097561
146	49.904761904761905
250	54.55813953488372
243	58.84090909090909
202	62.022222222222226
193	64.8695652173913
295	69.76595744680851
297	74.5
306	79.22448979591837
253	82.7
247	85.92156862745098
326	90.53846153846153
336	95.16981132075472
343	99.75925925925925
335	104.03636363636363
339	108.23214285714286
409	113.50877192982456
380	118.10344827586206
388	122.67796610169492
398	127.26666666666667
399	131.72131147540983
396	135.98387096774192
491	141.61904761904762
482	146.9375
472	151.93846153846152
459	156.5909090909091
533	162.2089552238806
543	167.80882352941177
554	173.40579710144928
540	178.64285714285714
621	184.8732394366197
634	191.11111111111111
636	197.2054794520548
651	203.33783783783784
665	209.49333333333334
672	215.57894736842104
688	221.71428571428572
673	227.5
684	233.27848101265823
692	239.0125
706	244.77777777777777
809	251.65853658536585
805	258.32530120481925
818	264.98809523809524
782	271.0705882352941
877	278.1162790697674
888	285.1264367816092
904	292.15909090909093
901	299.0
900	305.6777777777778
910	312.31868131868134
924	318.9673913043478
940	325.64516129032256
1032	333.1595744680851
1014	340.3263157894737
1020	347.40625
1038	354.5257731958763
1030	361.4183673469388
1141	369.2929292929293
1144	377.04
1151	384.7029702970297
1151	392.2156862745098
1159	399.6601941747573
1176	407.125
1193	414.6095238095238
1199	422.00943396226415
1284	430.06542056074767
1273	437.8703703703704
1280	445.5963302752294
1287	453.24545454545455
1387	461.65765765765764
1362	469.69642857142856
1346	477.4513274336283
1451	485.99122807017545
1471	494.55652173913046
1464	502.91379310344826
1488	511.3333333333333
1563	520.2457627118644
1564	529.0168067226891
1585	537.8166666666667
1602	546.6115702479339
1602	555.2622950819672
1620	563.9186991869918
1630	572.516129032258
1646	581.104
