FCFS:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
100	50.0
101	67.0
102	75.75
103	81.2
104	85.0
105	87.85714285714286
106	90.125
107	92.0
108	93.6
109	95.0
110	96.25
111	97.38461538461539
112	98.42857142857143
113	99.4
114	100.3125
115	101.17647058823529
116	102.0
117	102.78947368421052
118	103.55



SJF:
CZAS OCZEKIWANIA	SREDNI CZAS OCZEKIWANIA
0	0.0
1	0.5
2	1.0
3	1.5
4	2.0
5	2.5
6	3.0
7	3.5
8	4.0
9	4.5
10	5.0
11	5.5
12	6.0
13	6.5
14	7.0
15	7.5
16	8.0
17	8.5
18	9.0
19	9.5
