FIFO:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
5	(4, 5, 3)	48
5	(4, 5, 3)	48
2	(2, 5, 3)	49
4	(2, 4, 3)	50
2	(2, 4, 3)	50
5	(2, 4, 5)	51
2	(2, 4, 5)	51
2	(2, 4, 5)	51
1	(1, 4, 5)	52
3	(1, 3, 5)	53
2	(1, 3, 2)	54



LRU:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
3	(3, 0, 0)	1
4	(4, 3, 0)	2
1	(1, 4, 3)	3
2	(2, 1, 4)	4
1	(1, 2, 4)	4
2	(2, 1, 4)	4
5	(5, 2, 1)	5
5	(5, 2, 1)	5
3	(3, 5, 2)	6
4	(4, 3, 5)	7
5	(5, 4, 3)	7
2	(2, 5, 4)	8
5	(5, 2, 4)	8
3	(3, 5, 2)	9
4	(4, 3, 5)	10
5	(5, 4, 3)	10
4	(4, 5, 3)	10
2	(2, 4, 5)	11
3	(3, 2, 4)	12
4	(4, 3, 2)	12
5	(5, 4, 3)	13
5	(5, 4, 3)	13
5	(5, 4, 3)	13
5	(5, 4, 3)	13
5	(5, 4, 3)	13
3	(3, 5, 4)	13
4	(4, 3, 5)	13
4	(4, 3, 5)	13
1	(1, 4, 3)	14
5	(5, 1, 4)	15
3	(3, 5, 1)	16
1	(1, 3, 5)	16
2	(2, 1, 3)	17
1	(1, 2, 3)	17
5	(5, 1, 2)	18
2	(2, 5, 1)	18
2	(2, 5, 1)	18
4	(4, 2, 5)	19
4	(4, 2, 5)	19
1	(1, 4, 2)	20
2	(2, 1, 4)	20
4	(4, 2, 1)	20
2	(2, 4, 1)	20
1	(1, 2, 4)	20
3	(3, 1, 2)	21
4	(4, 3, 1)	22
4	(4, 3, 1)	22
5	(5, 4, 3)	23
2	(2, 5, 4)	24
5	(5, 2, 4)	24
5	(5, 2, 4)	24
2	(2, 5, 4)	24
4	(4, 2, 5)	24
1	(1, 4, 2)	25
2	(2, 1, 4)	25
5	(5, 2, 1)	26
2	(2, 5, 1)	26
3	(3, 2, 5)	27
1	(1, 3, 2)	28
3	(3, 1, 2)	28
5	(5, 3, 1)	29
4	(4, 5, 3)	30
1	(1, 4, 5)	31
3	(3, 1, 4)	32
1	(1, 3, 4)	32
1	(1, 3, 4)	32
3	(3, 1, 4)	32
2	(2, 3, 1)	33
2	(2, 3, 1)	33
2	(2, 3, 1)	33
2	(2, 3, 1)	33
1	(1, 2, 3)	33
4	(4, 1, 2)	34
4	(4, 1, 2)	34
4	(4, 1, 2)	34
3	(3, 4, 1)	35
2	(2, 3, 4)	36
2	(2, 3, 4)	36
4	(4, 2, 3)	36
2	(2, 4, 3)	36
1	(1, 2, 4)	37
4	(4, 1, 2)	37
2	(2, 4, 1)	37
2	(2, 4, 1)	37
2	(2, 4, 1)	37
2	(2, 4, 1)	37
4	(4, 2, 1)	37
5	(5, 4, 2)	38
5	(5, 4, 2)	38
3	(3, 5, 4)	39
3	(3, 5, 4)	39
2	(2, 3, 5)	40
5	(5, 2, 3)	40
5	(5, 2, 3)	40
3	(3, 5, 2)	40
3	(3, 5, 2)	40
2	(2, 3, 5)	40
3	(3, 2, 5)	40
1	(1, 3, 2)	41
1	(1, 3, 2)	41
2	(2, 1, 3)	41
1	(1, 2, 3)	41
5	(5, 1, 2)	42
3	(3, 5, 1)	43
2	(2, 3, 5)	44
2	(2, 3, 5)	44
2	(2, 3, 5)	44
3	(3, 2, 5)	44
1	(1, 3, 2)	45
3	(3, 1, 2)	45
4	(4, 3, 1)	46
5	(5, 4, 3)	47
1	(1, 5, 4)	48
3	(3, 1, 5)	49
5	(5, 3, 1)	49
5	(5, 3, 1)	49
2	(2, 5, 3)	50
4	(4, 2, 5)	51
2	(2, 4, 5)	51
5	(5, 2, 4)	51
2	(2, 5, 4)	51
2	(2, 5, 4)	51
1	(1, 2, 5)	52
3	(3, 1, 2)	53
2	(2, 3, 1)	53
