FIFO:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
3	(3, 0, 0)	1
4	(3, 4, 0)	2
1	(3, 4, 1)	3
2	(2, 4, 1)	4
1	(2, 4, 1)	4
2	(2, 4, 1)	4
5	(2, 5, 1)	5
5	(2, 5, 1)	5
3	(2, 5, 3)	6
4	(4, 5, 3)	7
5	(4, 5, 3)	7
2	(4, 2, 3)	8
5	(4, 2, 5)	9
3	(3, 2, 5)	10
4	(3, 4, 5)	11
5	(3, 4, 5)	11
4	(3, 4, 5)	11
2	(3, 4, 2)	12
3	(3, 4, 2)	12
4	(3, 4, 2)	12
5	(5, 4, 2)	13
5	(5, 4, 2)	13
5	(5, 4, 2)	13
5	(5, 4, 2)	13
5	(5, 4, 2)	13
3	(5, 3, 2)	14
4	(5, 3, 4)	15
4	(5, 3, 4)	15
1	(1, 3, 4)	16
5	(1, 5, 4)	17
3	(1, 5, 3)	18
1	(1, 5, 3)	18
2	(2, 5, 3)	19
1	(2, 1, 3)	20
5	(2, 1, 5)	21
2	(2, 1, 5)	21
2	(2, 1, 5)	21
4	(4, 1, 5)	22
4	(4, 1, 5)	22
1	(4, 1, 5)	22
2	(4, 2, 5)	23
4	(4, 2, 5)	23
2	(4, 2, 5)	23
1	(4, 2, 1)	24
3	(3, 2, 1)	25
4	(3, 4, 1)	26
4	(3, 4, 1)	26
5	(3, 4, 5)	27
2	(2, 4, 5)	28
5	(2, 4, 5)	28
5	(2, 4, 5)	28
2	(2, 4, 5)	28
4	(2, 4, 5)	28
1	(2, 1, 5)	29
2	(2, 1, 5)	29
5	(2, 1, 5)	29
2	(2, 1, 5)	29
3	(2, 1, 3)	30
1	(2, 1, 3)	30
3	(2, 1, 3)	30
5	(5, 1, 3)	31
4	(5, 4, 3)	32
1	(5, 4, 1)	33
3	(3, 4, 1)	34
1	(3, 4, 1)	34
1	(3, 4, 1)	34
3	(3, 4, 1)	34
2	(3, 2, 1)	35
2	(3, 2, 1)	35
2	(3, 2, 1)	35
2	(3, 2, 1)	35
1	(3, 2, 1)	35
4	(3, 2, 4)	36
4	(3, 2, 4)	36
4	(3, 2, 4)	36
3	(3, 2, 4)	36
2	(3, 2, 4)	36
2	(3, 2, 4)	36
4	(3, 2, 4)	36
2	(3, 2, 4)	36
1	(1, 2, 4)	37
4	(1, 2, 4)	37
2	(1, 2, 4)	37
2	(1, 2, 4)	37
2	(1, 2, 4)	37
2	(1, 2, 4)	37
4	(1, 2, 4)	37
5	(1, 5, 4)	38
5	(1, 5, 4)	38
3	(1, 5, 3)	39
3	(1, 5, 3)	39
2	(2, 5, 3)	40
5	(2, 5, 3)	40
5	(2, 5, 3)	40
3	(2, 5, 3)	40
3	(2, 5, 3)	40
2	(2, 5, 3)	40
3	(2, 5, 3)	40
1	(2, 1, 3)	41
1	(2, 1, 3)	41
2	(2, 1, 3)	41
1	(2, 1, 3)	41
5	(2, 1, 5)	42
3	(3, 1, 5)	43
2	(3, 2, 5)	44
2	(3, 2, 5)	44
2	(3, 2, 5)	44
3	(3, 2, 5)	44
1	(3, 2, 1)	45
3	(3, 2, 1)	45
4	(4, 2, 1)	46
5	(4, 5, 1)	47
1	(4, 5, 1)	47
3	(4, 5, 3)	48
