FIFO:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
40	(10, 18, 21)	96
18	(10, 18, 21)	96
3	(10, 18, 21)	97
40	(10, 18, 21)	98
7	(10, 18, 21)	99
13	(10, 18, 21)	100
6	(10, 18, 21)	101
33	(10, 18, 21)	102
19	(10, 18, 21)	103
19	(10, 18, 21)	104
4	(10, 18, 21)	105
39	(10, 18, 21)	106
18	(10, 18, 21)	106
15	(10, 18, 21)	107
7	(10, 18, 21)	108
27	(10, 18, 21)	109
33	(10, 18, 21)	110
11	(10, 18, 21)	111
24	(10, 18, 21)	112
29	(10, 18, 21)	113
29	(10, 18, 21)	114
20	(10, 18, 21)	115
29	(10, 18, 21)	116
34	(10, 18, 21)	117
11	(10, 18, 21)	118
27	(10, 18, 21)	119
36	(10, 18, 21)	120
30	(10, 18, 21)	121



LRU:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
10	(10, 0, 0)	1
18	(18, 10, 0)	2
21	(21, 18, 10)	3
5	(5, 21, 18)	4
4	(4, 5, 21)	5
2	(2, 4, 5)	6
8	(8, 2, 4)	7
33	(33, 8, 2)	8
30	(30, 33, 8)	9
36	(36, 30, 33)	10
38	(38, 36, 30)	11
15	(15, 38, 36)	12
22	(22, 15, 38)	13
27	(27, 22, 15)	14
12	(12, 27, 22)	15
24	(24, 12, 27)	16
39	(39, 24, 12)	17
40	(40, 39, 24)	18
15	(15, 40, 39)	19
40	(40, 15, 39)	19
12	(12, 40, 15)	20
8	(8, 12, 40)	21
30	(30, 8, 12)	22
4	(4, 30, 8)	23
32	(32, 4, 30)	24
17	(17, 32, 4)	25
12	(12, 17, 32)	26
34	(34, 12, 17)	27
33	(33, 34, 12)	28
27	(27, 33, 34)	29
31	(31, 27, 33)	30
27	(27, 31, 33)	30
36	(36, 27, 31)	31
39	(39, 36, 27)	32
23	(23, 39, 36)	33
14	(14, 23, 39)	34
23	(23, 14, 39)	34
15	(15, 23, 14)	35
6	(6, 15, 23)	36
22	(22, 6, 15)	37
34	(34, 22, 6)	38
28	(28, 34, 22)	39
5	(5, 28, 34)	40
31	(31, 5, 28)	41
18	(18, 31, 5)	42
23	(23, 18, 31)	43
15	(15, 23, 18)	44
25	(25, 15, 23)	45
39	(39, 25, 15)	46
14	(14, 39, 25)	47
38	(38, 14, 39)	48
31	(31, 38, 14)	49
20	(20, 31, 38)	50
37	(37, 20, 31)	51
29	(29, 37, 20)	52
20	(20, 29, 37)	52
22	(22, 20, 29)	53
1	(1, 22, 20)	54
36	(36, 1, 22)	55
14	(14, 36, 1)	56
10	(10, 14, 36)	57
26	(26, 10, 14)	58
8	(8, 26, 10)	59
37	(37, 8, 26)	60
29	(29, 37, 8)	61
8	(8, 29, 37)	61
40	(40, 8, 29)	62
35	(35, 40, 8)	63
31	(31, 35, 40)	64
38	(38, 31, 35)	65
29	(29, 38, 31)	66
11	(11, 29, 38)	67
37	(37, 11, 29)	68
13	(13, 37, 11)	69
33	(33, 13, 37)	70
17	(17, 33, 13)	71
6	(6, 17, 33)	72
11	(11, 6, 17)	73
8	(8, 11, 6)	74
2	(2, 8, 11)	75
9	(9, 2, 8)	76
14	(14, 9, 2)	77
28	(28, 14, 9)	78
20	(20, 28, 14)	79
2	(2, 20, 28)	80
35	(35, 2, 20)	81
27	(27, 35, 2)	82
29	(29, 27, 35)	83
26	(26, 29, 27)	84
8	(8, 26, 29)	85
3	(3, 8, 26)	86
24	(24, 3, 8)	87
7	(7, 24, 3)	88
8	(8, 7, 24)	89
9	(9, 8, 7)	90
40	(40, 9, 8)	91
11	(11, 40, 9)	92
40	(40, 11, 9)	92
18	(18, 40, 11)	93
3	(3, 18, 40)	94
40	(40, 3, 18)	94
7	(7, 40, 3)	95
13	(13, 7, 40)	96
6	(6, 13, 7)	97
33	(33, 6, 13)	98
19	(19, 33, 6)	99
19	(19, 33, 6)	99
4	(4, 19, 33)	100
39	(39, 4, 19)	101
18	(18, 39, 4)	102
15	(15, 18, 39)	103
7	(7, 15, 18)	104
27	(27, 7, 15)	105
33	(33, 27, 7)	106
11	(11, 33, 27)	107
24	(24, 11, 33)	108
29	(29, 24, 11)	109
29	(29, 24, 11)	109
20	(20, 29, 24)	110
29	(29, 20, 24)	110
34	(34, 29, 20)	111
11	(11, 34, 29)	112
27	(27, 11, 34)	113
36	(36, 27, 11)	114
30	(30, 36, 27)	115



LRU2:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
10	(10, 0, 0, 0)	1
18	(18, 10, 0)	2
21	(21, 18, 10)	3
5	(5, 21, 18)	4
4	(4, 5, 21)	5
2	(2, 4, 5)	6
8	(8, 2, 4)	7
33	(33, 8, 2)	8
30	(30, 33, 8)	9
36	(36, 30, 33)	10
38	(38, 36, 30)	11
15	(15, 38, 36)	12
22	(22, 15, 38)	13
27	(27, 22, 15)	14
12	(12, 27, 22)	15
24	(24, 12, 27)	16
39	(39, 24, 12)	17
40	(40, 39, 24)	18
15	(15, 40, 39)	19
40	(40, 15, 39)	19
12	(12, 40, 15)	20
8	(8, 12, 40)	21
30	(30, 8, 12)	22
4	(4, 30, 8)	23
32	(32, 4, 30)	24
17	(17, 32, 4)	25
12	(12, 17, 32)	26
34	(34, 12, 17)	27
33	(33, 34, 12)	28
27	(27, 33, 34)	29
31	(31, 27, 33)	30
27	(27, 31, 33)	30
36	(36, 27, 31)	31
39	(39, 36, 27)	32
23	(23, 39, 36)	33
14	(14, 23, 39)	34
23	(23, 14, 39)	34
15	(15, 23, 14)	35
6	(6, 15, 23)	36
22	(22, 6, 15)	37
34	(34, 22, 6)	38
28	(28, 34, 22)	39
5	(5, 28, 34)	40
31	(31, 5, 28)	41
18	(18, 31, 5)	42
23	(23, 18, 31)	43
15	(15, 23, 18)	44
25	(25, 15, 23)	45
39	(39, 25, 15)	46
14	(14, 39, 25)	47
38	(38, 14, 39)	48
31	(31, 38, 14)	49
20	(20, 31, 38)	50
37	(37, 20, 31)	51
29	(29, 37, 20)	52
20	(20, 29, 37)	52
22	(22, 20, 29)	53
1	(1, 22, 20)	54
36	(36, 1, 22)	55
14	(14, 36, 1)	56
10	(10, 14, 36)	57
26	(26, 10, 14)	58
8	(8, 26, 10)	59
37	(37, 8, 26)	60
29	(29, 37, 8)	61
8	(8, 29, 37)	61
40	(40, 8, 29)	62
35	(35, 40, 8)	63
31	(31, 35, 40)	64
38	(38, 31, 35)	65
29	(29, 38, 31)	66
11	(11, 29, 38)	67
37	(37, 11, 29)	68
13	(13, 37, 11)	69
33	(33, 13, 37)	70
17	(17, 33, 13)	71
6	(6, 17, 33)	72
11	(11, 6, 17)	73
8	(8, 11, 6)	74
2	(2, 8, 11)	75
9	(9, 2, 8)	76
14	(14, 9, 2)	77
28	(28, 14, 9)	78
20	(20, 28, 14)	79
2	(2, 20, 28)	80
35	(35, 2, 20)	81
27	(27, 35, 2)	82
29	(29, 27, 35)	83
26	(26, 29, 27)	84
8	(8, 26, 29)	85
3	(3, 8, 26)	86
24	(24, 3, 8)	87
7	(7, 24, 3)	88
8	(8, 7, 24)	89
9	(9, 8, 7)	90
40	(40, 9, 8)	91
11	(11, 40, 9)	92
40	(40, 11, 9)	92
18	(18, 40, 11)	93
3	(3, 18, 40)	94
40	(40, 3, 18)	94
7	(7, 40, 3)	95
13	(13, 7, 40)	96
6	(6, 13, 7)	97
33	(33, 6, 13)	98
19	(19, 33, 6)	99
19	(19, 33, 6)	99
4	(4, 19, 33)	100
39	(39, 4, 19)	101
18	(18, 39, 4)	102
15	(15, 18, 39)	103
7	(7, 15, 18)	104
27	(27, 7, 15)	105
33	(33, 27, 7)	106
11	(11, 33, 27)	107
