FIFO:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
5	(5, 0, 0)	1
5	(5, 0, 0)	1
4	(5, 4, 0)	2
2	(5, 4, 2)	3
3	(3, 4, 2)	4
2	(3, 4, 2)	4
1	(3, 1, 2)	5
2	(3, 1, 2)	5
5	(3, 1, 5)	6
1	(3, 1, 5)	6
5	(3, 1, 5)	6
1	(3, 1, 5)	6
1	(3, 1, 5)	6
1	(3, 1, 5)	6
2	(2, 1, 5)	7
4	(2, 4, 5)	8
2	(2, 4, 5)	8
5	(2, 4, 5)	8
4	(2, 4, 5)	8
4	(2, 4, 5)	8



LRU:		
OBECNA STRONA	KOLEJKA	ILOSC BLEDOW
5	(5, 0, 0)	1
5	(5, 0, 0)	1
4	(4, 5, 0)	2
2	(2, 4, 5)	3
3	(3, 2, 4)	4
2	(2, 3, 4)	4
1	(1, 2, 3)	5
2	(2, 1, 3)	5
5	(5, 2, 1)	6
1	(1, 5, 2)	6
5	(5, 1, 2)	6
1	(1, 5, 2)	6
1	(1, 5, 2)	6
1	(1, 5, 2)	6
2	(2, 1, 5)	6
4	(4, 2, 1)	7
2	(2, 4, 1)	7
5	(5, 2, 4)	8
4	(4, 5, 2)	8
4	(4, 5, 2)	8
